disease,date,district,lat,lon,cases
cholera,2010-01-15,Lahore,31.5204,74.3587,21
cholera,2010-01-15,Faisalabad,31.418,73.079,16
cholera,2010-01-15,Rawalpindi,33.5651,73.0169,21
cholera,2010-01-15,Gujranwala,32.1617,74.1883,16
cholera,2010-01-15,Multan,30.1575,71.5249,18
cholera,2010-01-15,Sialkot,32.4945,74.5229,22
cholera,2010-01-15,Sargodha,32.0836,72.6711,16
cholera,2010-01-15,Bahawalpur,29.3956,71.6836,17
cholera,2010-01-15,Dera Ghazi Khan,30.046,70.6403,24
cholera,2010-01-15,Rahim Yar Khan,28.4195,70.2989,23
cholera,2010-01-15,Karachi,24.8607,67.0011,16
cholera,2010-01-15,Hyderabad,25.396,68.3578,15
cholera,2010-01-15,Sukkur,27.7139,68.8354,24
cholera,2010-01-15,Larkana,27.5551,68.2141,23
cholera,2010-01-15,Nawabshah,26.2483,68.4096,20
cholera,2010-01-15,Peshawar,34.0151,71.5249,22
cholera,2010-01-15,Mardan,34.1989,72.0231,16
cholera,2010-01-15,Swat,34.7717,72.36,21
cholera,2010-01-15,Abbottabad,34.1463,73.2117,22
cholera,2010-01-15,Kohat,33.582,71.4412,24
cholera,2010-01-15,Chitral,35.8518,71.7864,15
cholera,2010-01-15,Quetta,30.1798,66.975,16
cholera,2010-01-15,Gwadar,25.1264,62.3225,15
cholera,2010-01-15,Khuzdar,27.811,66.6109,17
cholera,2010-01-15,Sibi,29.544,67.8773,15
cholera,2010-01-15,Islamabad,33.6844,73.0479,17
cholera,2010-01-15,Muzaffarabad,34.3772,73.4733,19
cholera,2010-01-15,Mirpur,33.15,73.75,20
cholera,2010-01-15,Gilgit,35.9208,74.3089,22
cholera,2010-01-15,Skardu,35.2979,75.6333,20
cholera,2010-02-15,Lahore,31.5204,74.3587,22
cholera,2010-02-15,Faisalabad,31.418,73.079,23
cholera,2010-02-15,Rawalpindi,33.5651,73.0169,24
cholera,2010-02-15,Gujranwala,32.1617,74.1883,22
cholera,2010-02-15,Multan,30.1575,71.5249,24
cholera,2010-02-15,Sialkot,32.4945,74.5229,15
cholera,2010-02-15,Sargodha,32.0836,72.6711,15
cholera,2010-02-15,Bahawalpur,29.3956,71.6836,22
cholera,2010-02-15,Dera Ghazi Khan,30.046,70.6403,16
cholera,2010-02-15,Rahim Yar Khan,28.4195,70.2989,23
cholera,2010-02-15,Karachi,24.8607,67.0011,15
cholera,2010-02-15,Hyderabad,25.396,68.3578,24
cholera,2010-02-15,Sukkur,27.7139,68.8354,17
cholera,2010-02-15,Larkana,27.5551,68.2141,16
cholera,2010-02-15,Nawabshah,26.2483,68.4096,16
cholera,2010-02-15,Peshawar,34.0151,71.5249,24
cholera,2010-02-15,Mardan,34.1989,72.0231,23
cholera,2010-02-15,Swat,34.7717,72.36,19
cholera,2010-02-15,Abbottabad,34.1463,73.2117,15
cholera,2010-02-15,Kohat,33.582,71.4412,15
cholera,2010-02-15,Chitral,35.8518,71.7864,19
cholera,2010-02-15,Quetta,30.1798,66.975,23
cholera,2010-02-15,Gwadar,25.1264,62.3225,24
cholera,2010-02-15,Khuzdar,27.811,66.6109,24
cholera,2010-02-15,Sibi,29.544,67.8773,16
cholera,2010-02-15,Islamabad,33.6844,73.0479,22
cholera,2010-02-15,Muzaffarabad,34.3772,73.4733,24
cholera,2010-02-15,Mirpur,33.15,73.75,23
cholera,2010-02-15,Gilgit,35.9208,74.3089,15
cholera,2010-02-15,Skardu,35.2979,75.6333,18
cholera,2010-03-15,Lahore,31.5204,74.3587,16
cholera,2010-03-15,Faisalabad,31.418,73.079,24
cholera,2010-03-15,Rawalpindi,33.5651,73.0169,19
cholera,2010-03-15,Gujranwala,32.1617,74.1883,24
cholera,2010-03-15,Multan,30.1575,71.5249,21
cholera,2010-03-15,Sialkot,32.4945,74.5229,18
cholera,2010-03-15,Sargodha,32.0836,72.6711,23
cholera,2010-03-15,Bahawalpur,29.3956,71.6836,22
cholera,2010-03-15,Dera Ghazi Khan,30.046,70.6403,18
cholera,2010-03-15,Rahim Yar Khan,28.4195,70.2989,23
cholera,2010-03-15,Karachi,24.8607,67.0011,20
cholera,2010-03-15,Hyderabad,25.396,68.3578,20
cholera,2010-03-15,Sukkur,27.7139,68.8354,17
cholera,2010-03-15,Larkana,27.5551,68.2141,17
cholera,2010-03-15,Nawabshah,26.2483,68.4096,22
cholera,2010-03-15,Peshawar,34.0151,71.5249,15
cholera,2010-03-15,Mardan,34.1989,72.0231,18
cholera,2010-03-15,Swat,34.7717,72.36,19
cholera,2010-03-15,Abbottabad,34.1463,73.2117,24
cholera,2010-03-15,Kohat,33.582,71.4412,22
cholera,2010-03-15,Chitral,35.8518,71.7864,20
cholera,2010-03-15,Quetta,30.1798,66.975,20
cholera,2010-03-15,Gwadar,25.1264,62.3225,17
cholera,2010-03-15,Khuzdar,27.811,66.6109,17
cholera,2010-03-15,Sibi,29.544,67.8773,21
cholera,2010-03-15,Islamabad,33.6844,73.0479,22
cholera,2010-03-15,Muzaffarabad,34.3772,73.4733,18
cholera,2010-03-15,Mirpur,33.15,73.75,18
cholera,2010-03-15,Gilgit,35.9208,74.3089,24
cholera,2010-03-15,Skardu,35.2979,75.6333,19
cholera,2010-04-15,Lahore,31.5204,74.3587,18
cholera,2010-04-15,Faisalabad,31.418,73.079,22
cholera,2010-04-15,Rawalpindi,33.5651,73.0169,17
cholera,2010-04-15,Gujranwala,32.1617,74.1883,21
cholera,2010-04-15,Multan,30.1575,71.5249,21
cholera,2010-04-15,Sialkot,32.4945,74.5229,22
cholera,2010-04-15,Sargodha,32.0836,72.6711,17
cholera,2010-04-15,Bahawalpur,29.3956,71.6836,23
cholera,2010-04-15,Dera Ghazi Khan,30.046,70.6403,17
cholera,2010-04-15,Rahim Yar Khan,28.4195,70.2989,20
cholera,2010-04-15,Karachi,24.8607,67.0011,20
cholera,2010-04-15,Hyderabad,25.396,68.3578,22
cholera,2010-04-15,Sukkur,27.7139,68.8354,22
cholera,2010-04-15,Larkana,27.5551,68.2141,22
cholera,2010-04-15,Nawabshah,26.2483,68.4096,19
cholera,2010-04-15,Peshawar,34.0151,71.5249,16
cholera,2010-04-15,Mardan,34.1989,72.0231,17
cholera,2010-04-15,Swat,34.7717,72.36,17
cholera,2010-04-15,Abbottabad,34.1463,73.2117,16
cholera,2010-04-15,Kohat,33.582,71.4412,17
cholera,2010-04-15,Chitral,35.8518,71.7864,21
cholera,2010-04-15,Quetta,30.1798,66.975,16
cholera,2010-04-15,Gwadar,25.1264,62.3225,24
cholera,2010-04-15,Khuzdar,27.811,66.6109,22
