disease,date,district,lat,lon,cases
covid19,2010-01-15,Lahore,31.5204,74.3587,70
covid19,2010-01-15,Faisalabad,31.418,73.079,73
covid19,2010-01-15,Rawalpindi,33.5651,73.0169,69
covid19,2010-01-15,Gujranwala,32.1617,74.1883,71
covid19,2010-01-15,Multan,30.1575,71.5249,98
covid19,2010-01-15,Sialkot,32.4945,74.5229,99
covid19,2010-01-15,Sargodha,32.0836,72.6711,65
covid19,2010-01-15,Bahawalpur,29.3956,71.6836,81
covid19,2010-01-15,Dera Ghazi Khan,30.046,70.6403,84
covid19,2010-01-15,Rahim Yar Khan,28.4195,70.2989,66
covid19,2010-01-15,Karachi,24.8607,67.0011,99
covid19,2010-01-15,Hyderabad,25.396,68.3578,73
covid19,2010-01-15,Sukkur,27.7139,68.8354,87
covid19,2010-01-15,Larkana,27.5551,68.2141,89
covid19,2010-01-15,Nawabshah,26.2483,68.4096,64
covid19,2010-01-15,Peshawar,34.0151,71.5249,67
covid19,2010-01-15,Mardan,34.1989,72.0231,65
covid19,2010-01-15,Swat,34.7717,72.36,69
covid19,2010-01-15,Abbottabad,34.1463,73.2117,73
covid19,2010-01-15,Kohat,33.582,71.4412,85
covid19,2010-01-15,Chitral,35.8518,71.7864,97
covid19,2010-01-15,Quetta,30.1798,66.975,74
covid19,2010-01-15,Gwadar,25.1264,62.3225,62
covid19,2010-01-15,Khuzdar,27.811,66.6109,66
covid19,2010-01-15,Sibi,29.544,67.8773,74
covid19,2010-01-15,Islamabad,33.6844,73.0479,91
covid19,2010-01-15,Muzaffarabad,34.3772,73.4733,82
covid19,2010-01-15,Mirpur,33.15,73.75,92
covid19,2010-01-15,Gilgit,35.9208,74.3089,97
covid19,2010-01-15,Skardu,35.2979,75.6333,70
covid19,2010-02-15,Lahore,31.5204,74.3587,95
covid19,2010-02-15,Faisalabad,31.418,73.079,96
covid19,2010-02-15,Rawalpindi,33.5651,73.0169,66
covid19,2010-02-15,Gujranwala,32.1617,74.1883,83
covid19,2010-02-15,Multan,30.1575,71.5249,63
covid19,2010-02-15,Sialkot,32.4945,74.5229,98
covid19,2010-02-15,Sargodha,32.0836,72.6711,87
covid19,2010-02-15,Bahawalpur,29.3956,71.6836,69
covid19,2010-02-15,Dera Ghazi Khan,30.046,70.6403,91
covid19,2010-02-15,Rahim Yar Khan,28.4195,70.2989,81
covid19,2010-02-15,Karachi,24.8607,67.0011,89
covid19,2010-02-15,Hyderabad,25.396,68.3578,97
covid19,2010-02-15,Sukkur,27.7139,68.8354,80
covid19,2010-02-15,Larkana,27.5551,68.2141,69
covid19,2010-02-15,Nawabshah,26.2483,68.4096,69
covid19,2010-02-15,Peshawar,34.0151,71.5249,94
covid19,2010-02-15,Mardan,34.1989,72.0231,60
covid19,2010-02-15,Swat,34.7717,72.36,79
covid19,2010-02-15,Abbottabad,34.1463,73.2117,97
covid19,2010-02-15,Kohat,33.582,71.4412,94
covid19,2010-02-15,Chitral,35.8518,71.7864,88
covid19,2010-02-15,Quetta,30.1798,66.975,83
covid19,2010-02-15,Gwadar,25.1264,62.3225,69
covid19,2010-02-15,Khuzdar,27.811,66.6109,88
covid19,2010-02-15,Sibi,29.544,67.8773,76
covid19,2010-02-15,Islamabad,33.6844,73.0479,65
covid19,2010-02-15,Muzaffarabad,34.3772,73.4733,92
covid19,2010-02-15,Mirpur,33.15,73.75,83
covid19,2010-02-15,Gilgit,35.9208,74.3089,85
covid19,2010-02-15,Skardu,35.2979,75.6333,92
covid19,2010-03-15,Lahore,31.5204,74.3587,63
covid19,2010-03-15,Faisalabad,31.418,73.079,83
covid19,2010-03-15,Rawalpindi,33.5651,73.0169,90
covid19,2010-03-15,Gujranwala,32.1617,74.1883,91
covid19,2010-03-15,Multan,30.1575,71.5249,82
covid19,2010-03-15,Sialkot,32.4945,74.5229,90
covid19,2010-03-15,Sargodha,32.0836,72.6711,75
covid19,2010-03-15,Bahawalpur,29.3956,71.6836,79
covid19,2010-03-15,Dera Ghazi Khan,30.046,70.6403,95
covid19,2010-03-15,Rahim Yar Khan,28.4195,70.2989,78
covid19,2010-03-15,Karachi,24.8607,67.0011,63
covid19,2010-03-15,Hyderabad,25.396,68.3578,74
covid19,2010-03-15,Sukkur,27.7139,68.8354,91
covid19,2010-03-15,Larkana,27.5551,68.2141,60
covid19,2010-03-15,Nawabshah,26.2483,68.4096,90
covid19,2010-03-15,Peshawar,34.0151,71.5249,68
covid19,2010-03-15,Mardan,34.1989,72.0231,60
covid19,2010-03-15,Swat,34.7717,72.36,86
covid19,2010-03-15,Abbottabad,34.1463,73.2117,69
covid19,2010-03-15,Kohat,33.582,71.4412,98
covid19,2010-03-15,Chitral,35.8518,71.7864,82
covid19,2010-03-15,Quetta,30.1798,66.975,63
covid19,2010-03-15,Gwadar,25.1264,62.3225,70
covid19,2010-03-15,Khuzdar,27.811,66.6109,95
covid19,2010-03-15,Sibi,29.544,67.8773,66
covid19,2010-03-15,Islamabad,33.6844,73.0479,72
covid19,2010-03-15,Muzaffarabad,34.3772,73.4733,75
covid19,2010-03-15,Mirpur,33.15,73.75,67
covid19,2010-03-15,Gilgit,35.9208,74.3089,69
covid19,2010-03-15,Skardu,35.2979,75.6333,72
covid19,2010-04-15,Lahore,31.5204,74.3587,98
covid19,2010-04-15,Faisalabad,31.418,73.079,66
covid19,2010-04-15,Rawalpindi,33.5651,73.0169,63
covid19,2010-04-15,Gujranwala,32.1617,74.1883,95
covid19,2010-04-15,Multan,30.1575,71.5249,98
covid19,2010-04-15,Sialkot,32.4945,74.5229,85
covid19,2010-04-15,Sargodha,32.0836,72.6711,93
covid19,2010-04-15,Bahawalpur,29.3956,71.6836,88
covid19,2010-04-15,Dera Ghazi Khan,30.046,70.6403,88
covid19,2010-04-15,Rahim Yar Khan,28.4195,70.2989,91
covid19,2010-04-15,Karachi,24.8607,67.0011,89
