district,latitude,longitude,disease,risk_index,date,cases_reported,population
Karachi,24.8607,67.0011,dengue,57,2025-08-08,430,2998796
Karachi,24.8607,67.0011,dengue,86,2025-08-15,89,2258679
Karachi,24.8607,67.0011,dengue,79,2025-08-22,338,1904935
Karachi,24.8607,67.0011,dengue,74,2025-08-29,147,2335500
Karachi,24.8607,67.0011,dengue,84,2025-09-05,331,3497611
Karachi,24.8607,67.0011,dengue,69,2025-09-12,259,2028938
Karachi,24.8607,67.0011,dengue,77,2025-09-19,407,2298328
Karachi,24.8607,67.0011,dengue,54,2025-09-26,403,769467
Karachi,24.8607,67.0011,dengue,78,2025-10-03,33,3773925
Karachi,24.8607,67.0011,dengue,94,2025-10-10,383,1101499
Karachi,24.8607,67.0011,dengue,66,2025-10-17,4,1078541
Karachi,24.8607,67.0011,dengue,50,2025-10-24,66,1117878
Karachi,24.8607,67.0011,dengue,63,2025-10-31,171,886980
Karachi,24.8607,67.0011,malaria,74,2025-08-08,307,3303923
Karachi,24.8607,67.0011,malaria,31,2025-08-15,88,4142185
Karachi,24.8607,67.0011,malaria,56,2025-08-22,457,533685
Karachi,24.8607,67.0011,malaria,47,2025-08-29,91,545960
Karachi,24.8607,67.0011,malaria,60,2025-09-05,486,4357393
Karachi,24.8607,67.0011,malaria,40,2025-09-12,99,1540209
Karachi,24.8607,67.0011,malaria,90,2025-09-19,353,1350032
Karachi,24.8607,67.0011,malaria,77,2025-09-26,274,2440065
Karachi,24.8607,67.0011,malaria,61,2025-10-03,319,2335707
Karachi,24.8607,67.0011,malaria,49,2025-10-10,98,1873629
Karachi,24.8607,67.0011,malaria,45,2025-10-17,83,4972932
Karachi,24.8607,67.0011,malaria,49,2025-10-24,83,2834192
Karachi,24.8607,67.0011,malaria,93,2025-10-31,151,1522417
Karachi,24.8607,67.0011,cholera,40,2025-08-08,61,3402443
Karachi,24.8607,67.0011,cholera,73,2025-08-15,334,3825880
Karachi,24.8607,67.0011,cholera,74,2025-08-22,161,3869585
Karachi,24.8607,67.0011,cholera,80,2025-08-29,227,3609565
Karachi,24.8607,67.0011,cholera,32,2025-09-05,22,2033727
