district,latitude,longitude,disease,risk_index,date,cases_reported,population
Karachi,24.8607,67.0011,dengue,2,2015-01-01,165,14916456
Lahore,31.5204,74.3587,dengue,3,2015-01-01,170,11126285
Islamabad,33.6844,73.0479,dengue,2,2015-01-01,22,2000000
Faisalabad,31.4504,73.135,dengue,3,2015-01-01,50,3203846
Rawalpindi,33.5651,73.0169,dengue,2,2015-01-01,28,2098231
Multan,30.1575,71.5249,dengue,3,2015-01-01,29,1871843
Peshawar,34.0151,71.5249,dengue,1,2015-01-01,18,1970042
Quetta,30.1798,66.975,dengue,1,2015-01-01,10,1001205
Sialkot,32.4945,74.5229,dengue,1,2015-01-01,5,655852
Gujranwala,32.1617,74.1883,dengue,1,2015-01-01,19,2027001
Hyderabad,25.396,68.3578,dengue,3,2015-01-01,29,1734309
Sargodha,32.0836,72.6711,dengue,2,2015-01-01,8,659862
Bahawalpur,29.4,71.6833,dengue,2,2015-01-01,9,762111
Sukkur,27.7032,68.8589,dengue,2,2015-01-01,7,499900
Larkana,27.559,68.212,dengue,2,2015-01-01,7,490508
Sheikhupura,31.7167,73.9833,dengue,2,2015-01-01,6,473129
Jhang,31.28,72.3317,dengue,1,2015-01-01,3,414131
Rahim Yar Khan,28.4212,70.2989,dengue,1,2015-01-01,3,420419
Gujrat,32.5739,74.0776,dengue,2,2015-01-01,4,390533
Kasur,31.1167,74.45,dengue,1,2015-01-01,3,358409
Karachi,24.8607,67.0011,malaria,7,2015-01-01,1104,14916456
Lahore,31.5204,74.3587,malaria,6,2015-01-01,694,11126285
Islamabad,33.6844,73.0479,malaria,6,2015-01-01,135,2000000
Faisalabad,31.4504,73.135,malaria,7,2015-01-01,244,3203846
Rawalpindi,33.5651,73.0169,malaria,5,2015-01-01,116,2098231
Multan,30.1575,71.5249,malaria,7,2015-01-01,143,1871843
Peshawar,34.0151,71.5249,malaria,6,2015-01-01,136,1970042
Quetta,30.1798,66.975,malaria,5,2015-01-01,57,1001205
Sialkot,32.4945,74.5229,malaria,6,2015-01-01,44,655852
Gujranwala,32.1617,74.1883,malaria,5,2015-01-01,115,2027001
Hyderabad,25.396,68.3578,malaria,9,2015-01-01,160,1734309
Sargodha,32.0836,72.6711,malaria,4,2015-01-01,32,659862
Bahawalpur,29.4,71.6833,malaria,5,2015-01-01,43,762111
Sukkur,27.7032,68.8589,malaria,4,2015-01-01,24,499900
Larkana,27.559,68.212,malaria,4,2015-01-01,24,490508
Sheikhupura,31.7167,73.9833,malaria,6,2015-01-01,30,473129
Jhang,31.28,72.3317,malaria,4,2015-01-01,17,414131
Rahim Yar Khan,28.4212,70.2989,malaria,4,2015-01-01,19,420419
Gujrat,32.5739,74.0776,malaria,6,2015-01-01,24,390533
Kasur,31.1167,74.45,malaria,5,2015-01-01,20,358409
Karachi,24.8607,67.0011,cholera,0,2015-01-01,6,14916456
Lahore,31.5204,74.3587,cholera,0,2015-01-01,7,11126285
Islamabad,33.6844,73.0479,cholera,0,2015-01-01,0,2000000
Faisalabad,31.4504,73.135,cholera,0,2015-01-01,1,3203846
Rawalpindi,33.5651,73.0169,cholera,0,2015-01-01,1,2098231
Multan,30.1575,71.5249,cholera,0,2015-01-01,1,1871843
Peshawar,34.0151,71.5249,cholera,0,2015-01-01,1,1970042
Quetta,30.1798,66.975,cholera,0,2015-01-01,0,1001205
Sialkot,32.4945,74.5229,cholera,0,2015-01-01,0,655852
Gujranwala,32.1617,74.1883,cholera,0,2015-01-01,1,2027001
Hyderabad,25.396,68.3578,cholera,0,2015-01-01,0,1734309
Sargodha,32.0836,72.6711,cholera,0,2015-01-01,0,659862
Bahawalpur,29.4,71.6833,cholera,0,2015-01-01,0,762111
Sukkur,27.7032,68.8589,cholera,0,2015-01-01,0,499900
Larkana,27.559,68.212,cholera,0,2015-01-01,0,490508
Sheikhupura,31.7167,73.9833,cholera,0,2015-01-01,0,473129
Jhang,31.28,72.3317,cholera,0,2015-01-01,0,414131
Rahim Yar Khan,28.4212,70.2989,cholera,0,2015-01-01,0,420419
Gujrat,32.5739,74.0776,cholera,0,2015-01-01,0,390533
Kasur,31.1167,74.45,cholera,0,2015-01-01,0,358409
Karachi,24.8607,67.0011,influenza,1,2015-01-01,944,14916456
Lahore,31.5204,74.3587,influenza,1,2015-01-01,797,11126285
Islamabad,33.6844,73.0479,influenza,0,2015-01-01,77,2000000
Faisalabad,31.4504,73.135,influenza,1,2015-01-01,175,3203846
Rawalpindi,33.5651,73.0169,influenza,0,2015-01-01,83,2098231
Multan,30.1575,71.5249,influenza,1,2015-01-01,97,1871843
Peshawar,34.0151,71.5249,influenza,1,2015-01-01,109,1970042
Quetta,30.1798,66.975,influenza,1,2015-01-01,56,1001205
Sialkot,32.4945,74.5229,influenza,1,2015-01-01,34,655852
Gujranwala,32.1617,74.1883,influenza,0,2015-01-01,90,2027001
Hyderabad,25.396,68.3578,influenza,0,2015-01-01,73,1734309
Sargodha,32.0836,72.6711,influenza,1,2015-01-01,37,659862
Bahawalpur,29.4,71.6833,influenza,0,2015-01-01,34,762111
Sukkur,27.7032,68.8589,influenza,1,2015-01-01,31,499900
Larkana,27.559,68.212,influenza,0,2015-01-01,24,490508
Sheikhupura,31.7167,73.9833,influenza,0,2015-01-01,21,473129
Jhang,31.28,72.3317,influenza,0,2015-01-01,17,414131
Rahim Yar Khan,28.4212,70.2989,influenza,0,2015-01-01,21,420419
Gujrat,32.5739,74.0776,influenza,0,2015-01-01,15,390533
Kasur,31.1167,74.45,influenza,0,2015-01-01,15,358409
Karachi,24.8607,67.0011,covid19,24,2015-01-01,12165,14916456
Lahore,31.5204,74.3587,covid19,20,2015-01-01,5600,11126285
Islamabad,33.6844,73.0479,covid19,19,2015-01-01,951,2000000
Faisalabad,31.4504,73.135,covid19,21,2015-01-01,1907,3203846
Rawalpindi,33.5651,73.0169,covid19,20,2015-01-01,1118,2098231
Multan,30.1575,71.5249,covid19,23,2015-01-01,1379,1871843
Peshawar,34.0151,71.5249,covid19,21,2015-01-01,1138,1970042
Quetta,30.1798,66.975,covid19,21,2015-01-01,622,1001205
Sialkot,32.4945,74.5229,covid19,21,2015-01-01,389,655852
Gujranwala,32.1617,74.1883,covid19,21,2015-01-01,1167,2027001
Hyderabad,25.396,68.3578,covid19,20,2015-01-01,967,1734309
Sargodha,32.0836,72.6711,covid19,22,2015-01-01,467,659862
Bahawalpur,29.4,71.6833,covid19,17,2015-01-01,337,762111
Sukkur,27.7032,68.8589,covid19,24,2015-01-01,406,499900
Larkana,27.559,68.212,covid19,19,2015-01-01,239,490508
Sheikhupura,31.7167,73.9833,covid19,15,2015-01-01,187,473129
Jhang,31.28,72.3317,covid19,22,2015-01-01,292,414131
Rahim Yar Khan,28.4212,70.2989,covid19,21,2015-01-01,246,420419
Gujrat,32.5739,74.0776,covid19,17,2015-01-01,168,390533
Kasur,31.1167,74.45,covid19,15,2015-01-01,142,358409
Karachi,24.8607,67.0011,dengue,2,2015-01-08,222,14916456
Lahore,31.5204,74.3587,dengue,2,2015-01-08,158,11126285
Islamabad,33.6844,73.0479,dengue,2,2015-01-08,20,2000000
Faisalabad,31.4504,73.135,dengue,2,2015-01-08,39,3203846
Rawalpindi,33.5651,73.0169,dengue,2,2015-01-08,28,2098231
Multan,30.1575,71.5249,dengue,2,2015-01-08,24,1871843
Peshawar,34.0151,71.5249,dengue,2,2015-01-08,22,1970042
Quetta,30.1798,66.975,dengue,2,2015-01-08,13,1001205
Sialkot,32.4945,74.5229,dengue,2,2015-01-08,8,655852
Gujranwala,32.1617,74.1883,dengue,2,2015-01-08,26,2027001
Hyderabad,25.396,68.3578,dengue,2,2015-01-08,24,1734309
Sargodha,32.0836,72.6711,dengue,1,2015-01-08,6,659862
Bahawalpur,29.4,71.6833,dengue,2,2015-01-08,9,762111
Sukkur,27.7032,68.8589,dengue,2,2015-01-08,6,499900
Larkana,27.559,68.212,dengue,1,2015-01-08,4,490508
Sheikhupura,31.7167,73.9833,dengue,2,2015-01-08,5,473129
