disease,date,district,lat,lon,cases
hepatitis_a,2010-01-15,Lahore,31.5204,74.3587,30
hepatitis_a,2010-01-15,Faisalabad,31.418,73.079,31
hepatitis_a,2010-01-15,Rawalpindi,33.5651,73.0169,37
hepatitis_a,2010-01-15,Gujranwala,32.1617,74.1883,25
hepatitis_a,2010-01-15,Multan,30.1575,71.5249,37
hepatitis_a,2010-01-15,Sialkot,32.4945,74.5229,34
hepatitis_a,2010-01-15,Sargodha,32.0836,72.6711,29
hepatitis_a,2010-01-15,Bahawalpur,29.3956,71.6836,33
hepatitis_a,2010-01-15,Dera Ghazi Khan,30.046,70.6403,34
hepatitis_a,2010-01-15,Rahim Yar Khan,28.4195,70.2989,28
hepatitis_a,2010-01-15,Karachi,24.8607,67.0011,25
hepatitis_a,2010-01-15,Hyderabad,25.396,68.3578,26
hepatitis_a,2010-01-15,Sukkur,27.7139,68.8354,30
hepatitis_a,2010-01-15,Larkana,27.5551,68.2141,28
hepatitis_a,2010-01-15,Nawabshah,26.2483,68.4096,28
hepatitis_a,2010-01-15,Peshawar,34.0151,71.5249,30
hepatitis_a,2010-01-15,Mardan,34.1989,72.0231,30
hepatitis_a,2010-01-15,Swat,34.7717,72.36,31
hepatitis_a,2010-01-15,Abbottabad,34.1463,73.2117,31
hepatitis_a,2010-01-15,Kohat,33.582,71.4412,35
hepatitis_a,2010-01-15,Chitral,35.8518,71.7864,30
hepatitis_a,2010-01-15,Quetta,30.1798,66.975,28
hepatitis_a,2010-01-15,Gwadar,25.1264,62.3225,35
hepatitis_a,2010-01-15,Khuzdar,27.811,66.6109,26
hepatitis_a,2010-01-15,Sibi,29.544,67.8773,24
hepatitis_a,2010-01-15,Islamabad,33.6844,73.0479,25
hepatitis_a,2010-01-15,Muzaffarabad,34.3772,73.4733,30
hepatitis_a,2010-01-15,Mirpur,33.15,73.75,30
hepatitis_a,2010-01-15,Gilgit,35.9208,74.3089,27
hepatitis_a,2010-01-15,Skardu,35.2979,75.6333,26
hepatitis_a,2010-02-15,Lahore,31.5204,74.3587,23
hepatitis_a,2010-02-15,Faisalabad,31.418,73.079,31
hepatitis_a,2010-02-15,Rawalpindi,33.5651,73.0169,25
hepatitis_a,2010-02-15,Gujranwala,32.1617,74.1883,26
hepatitis_a,2010-02-15,Multan,30.1575,71.5249,30
hepatitis_a,2010-02-15,Sialkot,32.4945,74.5229,30
hepatitis_a,2010-02-15,Sargodha,32.0836,72.6711,22
hepatitis_a,2010-02-15,Bahawalpur,29.3956,71.6836,31
hepatitis_a,2010-02-15,Dera Ghazi Khan,30.046,70.6403,34
hepatitis_a,2010-02-15,Rahim Yar Khan,28.4195,70.2989,31
hepatitis_a,2010-02-15,Karachi,24.8607,67.0011,30
hepatitis_a,2010-02-15,Hyderabad,25.396,68.3578,26
hepatitis_a,2010-02-15,Sukkur,27.7139,68.8354,32
hepatitis_a,2010-02-15,Larkana,27.5551,68.2141,37
hepatitis_a,2010-02-15,Nawabshah,26.2483,68.4096,24
hepatitis_a,2010-02-15,Peshawar,34.0151,71.5249,28
hepatitis_a,2010-02-15,Mardan,34.1989,72.0231,27
hepatitis_a,2010-02-15,Swat,34.7717,72.36,29
hepatitis_a,2010-02-15,Abbottabad,34.1463,73.2117,33
hepatitis_a,2010-02-15,Kohat,33.582,71.4412,26
hepatitis_a,2010-02-15,Chitral,35.8518,71.7864,26
hepatitis_a,2010-02-15,Quetta,30.1798,66.975,25
hepatitis_a,2010-02-15,Gwadar,25.1264,62.3225,26
hepatitis_a,2010-02-15,Khuzdar,27.811,66.6109,27
hepatitis_a,2010-02-15,Sibi,29.544,67.8773,35
hepatitis_a,2010-02-15,Islamabad,33.6844,73.0479,29
hepatitis_a,2010-02-15,Muzaffarabad,34.3772,73.4733,31
hepatitis_a,2010-02-15,Mirpur,33.15,73.75,31
hepatitis_a,2010-02-15,Gilgit,35.9208,74.3089,34
hepatitis_a,2010-02-15,Skardu,35.2979,75.6333,22
hepatitis_a,2010-03-15,Lahore,31.5204,74.3587,23
hepatitis_a,2010-03-15,Faisalabad,31.418,73.079,32
hepatitis_a,2010-03-15,Rawalpindi,33.5651,73.0169,30
