disease,date,district,lat,lon,cases
influenza,2010-01-15,Lahore,31.5204,74.3587,113
influenza,2010-01-15,Faisalabad,31.418,73.079,110
influenza,2010-01-15,Rawalpindi,33.5651,73.0169,150
influenza,2010-01-15,Gujranwala,32.1617,74.1883,97
influenza,2010-01-15,Multan,30.1575,71.5249,111
influenza,2010-01-15,Sialkot,32.4945,74.5229,109
influenza,2010-01-15,Sargodha,32.0836,72.6711,142
influenza,2010-01-15,Bahawalpur,29.3956,71.6836,141
influenza,2010-01-15,Dera Ghazi Khan,30.046,70.6403,121
influenza,2010-01-15,Rahim Yar Khan,28.4195,70.2989,129
influenza,2010-01-15,Karachi,24.8607,67.0011,147
influenza,2010-01-15,Hyderabad,25.396,68.3578,145
influenza,2010-01-15,Sukkur,27.7139,68.8354,148
influenza,2010-01-15,Larkana,27.5551,68.2141,96
influenza,2010-01-15,Nawabshah,26.2483,68.4096,157
influenza,2010-01-15,Peshawar,34.0151,71.5249,145
influenza,2010-01-15,Mardan,34.1989,72.0231,123
influenza,2010-01-15,Swat,34.7717,72.36,144
influenza,2010-01-15,Abbottabad,34.1463,73.2117,96
influenza,2010-01-15,Kohat,33.582,71.4412,107
influenza,2010-01-15,Chitral,35.8518,71.7864,154
influenza,2010-01-15,Quetta,30.1798,66.975,140
influenza,2010-01-15,Gwadar,25.1264,62.3225,106
influenza,2010-01-15,Khuzdar,27.811,66.6109,103
influenza,2010-01-15,Sibi,29.544,67.8773,118
influenza,2010-01-15,Islamabad,33.6844,73.0479,103
influenza,2010-01-15,Muzaffarabad,34.3772,73.4733,139
influenza,2010-01-15,Mirpur,33.15,73.75,112
influenza,2010-01-15,Gilgit,35.9208,74.3089,124
influenza,2010-01-15,Skardu,35.2979,75.6333,125
influenza,2010-02-15,Lahore,31.5204,74.3587,142
influenza,2010-02-15,Faisalabad,31.418,73.079,111
influenza,2010-02-15,Rawalpindi,33.5651,73.0169,119
influenza,2010-02-15,Gujranwala,32.1617,74.1883,103
influenza,2010-02-15,Multan,30.1575,71.5249,126
influenza,2010-02-15,Sialkot,32.4945,74.5229,97
influenza,2010-02-15,Sargodha,32.0836,72.6711,113
influenza,2010-02-15,Bahawalpur,29.3956,71.6836,107
influenza,2010-02-15,Dera Ghazi Khan,30.046,70.6403,97
influenza,2010-02-15,Rahim Yar Khan,28.4195,70.2989,143
influenza,2010-02-15,Karachi,24.8607,67.0011,142
influenza,2010-02-15,Hyderabad,25.396,68.3578,116
influenza,2010-02-15,Sukkur,27.7139,68.8354,118
influenza,2010-02-15,Larkana,27.5551,68.2141,103
influenza,2010-02-15,Nawabshah,26.2483,68.4096,151
influenza,2010-02-15,Peshawar,34.0151,71.5249,128
influenza,2010-02-15,Mardan,34.1989,72.0231,154
influenza,2010-02-15,Swat,34.7717,72.36,111
influenza,2010-02-15,Abbottabad,34.1463,73.2117,125
influenza,2010-02-15,Kohat,33.582,71.4412,111
influenza,2010-02-15,Chitral,35.8518,71.7864,112
influenza,2010-02-15,Quetta,30.1798,66.975,130
influenza,2010-02-15,Gwadar,25.1264,62.3225,142
influenza,2010-02-15,Khuzdar,27.811,66.6109,132
influenza,2010-02-15,Sibi,29.544,67.8773,144
influenza,2010-02-15,Islamabad,33.6844,73.0479,153
influenza,2010-02-15,Muzaffarabad,34.3772,73.4733,154
influenza,2010-02-15,Mirpur,33.15,73.75,131
influenza,2010-02-15,Gilgit,35.9208,74.3089,123
influenza,2010-02-15,Skardu,35.2979,75.6333,130
influenza,2010-03-15,Lahore,31.5204,74.3587,92
influenza,2010-03-15,Faisalabad,31.418,73.079,73
influenza,2010-03-15,Rawalpindi,33.5651,73.0169,77
influenza,2010-03-15,Gujranwala,32.1617,74.1883,83
influenza,2010-03-15,Multan,30.1575,71.5249,106
influenza,2010-03-15,Sialkot,32.4945,74.5229,83
influenza,2010-03-15,Sargodha,32.0836,72.6711,73
influenza,2010-03-15,Bahawalpur,29.3956,71.6836,102
influenza,2010-03-15,Dera Ghazi Khan,30.046,70.6403,95
influenza,2010-03-15,Rahim Yar Khan,28.4195,70.2989,83
influenza,2010-03-15,Karachi,24.8607,67.0011,76
influenza,2010-03-15,Hyderabad,25.396,68.3578,88
influenza,2010-03-15,Sukkur,27.7139,68.8354,89
influenza,2010-03-15,Larkana,27.5551,68.2141,71
influenza,2010-03-15,Nawabshah,26.2483,68.4096,87
influenza,2010-03-15,Peshawar,34.0151,71.5249,88
influenza,2010-03-15,Mardan,34.1989,72.0231,100
influenza,2010-03-15,Swat,34.7717,72.36,97
influenza,2010-03-15,Abbottabad,34.1463,73.2117,76
influenza,2010-03-15,Kohat,33.582,71.4412,68
influenza,2010-03-15,Chitral,35.8518,71.7864,84
influenza,2010-03-15,Quetta,30.1798,66.975,78
influenza,2010-03-15,Gwadar,25.1264,62.3225,76
influenza,2010-03-15,Khuzdar,27.811,66.6109,86
influenza,2010-03-15,Sibi,29.544,67.8773,81
influenza,2010-03-15,Islamabad,33.6844,73.0479,100
influenza,2010-03-15,Muzaffarabad,34.3772,73.4733,78
influenza,2010-03-15,Mirpur,33.15,73.75,72
influenza,2010-03-15,Gilgit,35.9208,74.3089,109
influenza,2010-03-15,Skardu,35.2979,75.6333,75
influenza,2010-04-15,Lahore,31.5204,74.3587,112
influenza,2010-04-15,Faisalabad,31.418,73.079,73
influenza,2010-04-15,Rawalpindi,33.5651,73.0169,75
influenza,2010-04-15,Gujranwala,32.1617,74.1883,111
influenza,2010-04-15,Multan,30.1575,71.5249,92
influenza,2010-04-15,Sialkot,32.4945,74.5229,102
influenza,2010-04-15,Sargodha,32.0836,72.6711,73
influenza,2010-04-15,Bahawalpur,29.3956,71.6836,96
influenza,2010-04-15,Dera Ghazi Khan,30.046,70.6403,75
influenza,2010-04-15,Rahim Yar Khan,28.4195,70.2989,97
influenza,2010-04-15,Karachi,24.8607,67.0011,89
influenza,2010-04-15,Hyderabad,25.396,68.3578,92
influenza,2010-04-15,Sukkur,27.7139,68.8354,92
influenza,2010-04-15,Larkana,27.5551,68.2141,79
influenza,2010-04-15,Nawabshah,26.2483,68.4096,77
influenza,2010-04-15,Peshawar,34.0151,71.5249,83
influenza,2010-04-15,Mardan,34.1989,72.0231,82
influenza,2010-04-15,Swat,34.7717,72.36,86
influenza,2010-04-15,Abbottabad,34.1463,73.2117,76
influenza,2010-04-15,Kohat,33.582,71.4412,91
influenza,2010-04-15,Chitral,35.8518,71.7864,69
influenza,2010-04-15,Quetta,30.1798,66.975,110
influenza,2010-04-15,Gwadar,25.1264,62.3225,101
influenza,2010-04-15,Khuzdar,27.811,66.6109,75
influenza,2010-04-15,Sibi,29.544,67.8773,97
influenza,2010-04-15,Islamabad,33.6844,73.0479,103
influenza,2010-04-15,Muzaffarabad,34.3772,73.4733,93
influenza,2010-04-15,Mirpur,33.15,73.75,85
influenza,2010-04-15,Gilgit,35.9208,74.3089,104
influenza,2010-04-15,Skardu,35.2979,75.6333,79
influenza,2010-05-15,Lahore,31.5204,74.3587,108
influenza,2010-05-15,Faisalabad,31.418,73.079,68
influenza,2010-05-15,Rawalpindi,33.5651,73.0169,75
influenza,2010-05-15,Gujranwala,32.1617,74.1883,69
influenza,2010-05-15,Multan,30.1575,71.5249,91
influenza,2010-05-15,Sialkot,32.4945,74.5229,90
influenza,2010-05-15,Sargodha,32.0836,72.6711,80
influenza,2010-05-15,Bahawalpur,29.3956,71.6836,105
influenza,2010-05-15,Dera Ghazi Khan,30.046,70.6403,72
influenza,2010-05-15,Rahim Yar Khan,28.4195,70.2989,100
influenza,2010-05-15,Karachi,24.8607,67.0011,74
influenza,2010-05-15,Hyderabad,25.396,68.3578,104
influenza,2010-05-15,Sukkur,27.7139,68.8354,81
influenza,2010-05-15,Larkana,27.5551,68.2141,111
influenza,2010-05-15,Nawabshah,26.2483,68.4096,77
influenza,2010-05-15,Peshawar,34.0151,71.5249,92
influenza,2010-05-15,Mardan,34.1989,72.0231,85
influenza,2010-05-15,Swat,34.7717,72.36,93
influenza,2010-05-15,Abbottabad,34.1463,73.2117,109
influenza,2010-05-15,Kohat,33.582,71.4412,75
influenza,2010-05-15,Chitral,35.8518,71.7864,90
influenza,2010-05-15,Quetta,30.1798,66.975,87
influenza,2010-05-15,Gwadar,25.1264,62.3225,96
influenza,2010-05-15,Khuzdar,27.811,66.6109,95
influenza,2010-05-15,Sibi,29.544,67.8773,86
influenza,2010-05-15,Islamabad,33.6844,73.0479,108
influenza,2010-05-15,Muzaffarabad,34.3772,73.4733,73
influenza,2010-05-15,Mirpur,33.15,73.75,86
influenza,2010-05-15,Gilgit,35.9208,74.3089,82
influenza,2010-05-15,Skardu,35.2979,75.6333,105
influenza,2010-06-15,Lahore,31.5204,74.3587,92
influenza,2010-06-15,Faisalabad,31.418,73.079,83
influenza,2010-06-15,Rawalpindi,33.5651,73.0169,84
influenza,2010-06-15,Gujranwala,32.1617,74.1883,88
influenza,2010-06-15,Multan,30.1575,71.5249,74
influenza,2010-06-15,Sialkot,32.4945,74.5229,73
influenza,2010-06-15,Sargodha,32.0836,72.6711,94
influenza,2010-06-15,Bahawalpur,29.3956,71.6836,110
influenza,2010-06-15,Dera Ghazi Khan,30.046,70.6403,83
influenza,2010-06-15,Rahim Yar Khan,28.4195,70.2989,70
influenza,2010-06-15,Karachi,24.8607,67.0011,72
influenza,2010-06-15,Hyderabad,25.396,68.3578,106
influenza,2010-06-15,Sukkur,27.7139,68.8354,90
