disease,date,district,lat,lon,cases
malaria,2010-01-15,Lahore,31.5204,74.3587,38
malaria,2010-01-15,Faisalabad,31.418,73.079,40
malaria,2010-01-15,Rawalpindi,33.5651,73.0169,56
malaria,2010-01-15,Gujranwala,32.1617,74.1883,39
malaria,2010-01-15,Multan,30.1575,71.5249,51
malaria,2010-01-15,Sialkot,32.4945,74.5229,60
malaria,2010-01-15,Sargodha,32.0836,72.6711,57
malaria,2010-01-15,Bahawalpur,29.3956,71.6836,41
malaria,2010-01-15,Dera Ghazi Khan,30.046,70.6403,51
malaria,2010-01-15,Rahim Yar Khan,28.4195,70.2989,60
malaria,2010-01-15,Karachi,24.8607,67.0011,46
malaria,2010-01-15,Hyderabad,25.396,68.3578,49
malaria,2010-01-15,Sukkur,27.7139,68.8354,58
malaria,2010-01-15,Larkana,27.5551,68.2141,38
malaria,2010-01-15,Nawabshah,26.2483,68.4096,58
malaria,2010-01-15,Peshawar,34.0151,71.5249,59
malaria,2010-01-15,Mardan,34.1989,72.0231,38
malaria,2010-01-15,Swat,34.7717,72.36,43
malaria,2010-01-15,Abbottabad,34.1463,73.2117,61
malaria,2010-01-15,Kohat,33.582,71.4412,43
malaria,2010-01-15,Chitral,35.8518,71.7864,61
malaria,2010-01-15,Quetta,30.1798,66.975,43
malaria,2010-01-15,Gwadar,25.1264,62.3225,42
malaria,2010-01-15,Khuzdar,27.811,66.6109,62
malaria,2010-01-15,Sibi,29.544,67.8773,48
malaria,2010-01-15,Islamabad,33.6844,73.0479,56
malaria,2010-01-15,Muzaffarabad,34.3772,73.4733,39
malaria,2010-01-15,Mirpur,33.15,73.75,53
malaria,2010-01-15,Gilgit,35.9208,74.3089,46
malaria,2010-01-15,Skardu,35.2979,75.6333,46
malaria,2010-02-15,Lahore,31.5204,74.3587,61
malaria,2010-02-15,Faisalabad,31.418,73.079,47
malaria,2010-02-15,Rawalpindi,33.5651,73.0169,54
malaria,2010-02-15,Gujranwala,32.1617,74.1883,39
malaria,2010-02-15,Multan,30.1575,71.5249,47
malaria,2010-02-15,Sialkot,32.4945,74.5229,44
malaria,2010-02-15,Sargodha,32.0836,72.6711,60
malaria,2010-02-15,Bahawalpur,29.3956,71.6836,62
malaria,2010-02-15,Dera Ghazi Khan,30.046,70.6403,58
malaria,2010-02-15,Rahim Yar Khan,28.4195,70.2989,44
malaria,2010-02-15,Karachi,24.8607,67.0011,37
malaria,2010-02-15,Hyderabad,25.396,68.3578,62
malaria,2010-02-15,Sukkur,27.7139,68.8354,44
malaria,2010-02-15,Larkana,27.5551,68.2141,55
malaria,2010-02-15,Nawabshah,26.2483,68.4096,46
malaria,2010-02-15,Peshawar,34.0151,71.5249,61
malaria,2010-02-15,Mardan,34.1989,72.0231,47
malaria,2010-02-15,Swat,34.7717,72.36,43
malaria,2010-02-15,Abbottabad,34.1463,73.2117,45
malaria,2010-02-15,Kohat,33.582,71.4412,48
malaria,2010-02-15,Chitral,35.8518,71.7864,61
malaria,2010-02-15,Quetta,30.1798,66.975,45
malaria,2010-02-15,Gwadar,25.1264,62.3225,57
malaria,2010-02-15,Khuzdar,27.811,66.6109,37
malaria,2010-02-15,Sibi,29.544,67.8773,47
malaria,2010-02-15,Islamabad,33.6844,73.0479,50
malaria,2010-02-15,Muzaffarabad,34.3772,73.4733,50
malaria,2010-02-15,Mirpur,33.15,73.75,55
malaria,2010-02-15,Gilgit,35.9208,74.3089,53
malaria,2010-02-15,Skardu,35.2979,75.6333,59
malaria,2010-03-15,Lahore,31.5204,74.3587,41
malaria,2010-03-15,Faisalabad,31.418,73.079,43
malaria,2010-03-15,Rawalpindi,33.5651,73.0169,60
malaria,2010-03-15,Gujranwala,32.1617,74.1883,38
malaria,2010-03-15,Multan,30.1575,71.5249,57
malaria,2010-03-15,Sialkot,32.4945,74.5229,48
malaria,2010-03-15,Sargodha,32.0836,72.6711,40
malaria,2010-03-15,Bahawalpur,29.3956,71.6836,59
malaria,2010-03-15,Dera Ghazi Khan,30.046,70.6403,46
malaria,2010-03-15,Rahim Yar Khan,28.4195,70.2989,49
malaria,2010-03-15,Karachi,24.8607,67.0011,50
malaria,2010-03-15,Hyderabad,25.396,68.3578,44
malaria,2010-03-15,Sukkur,27.7139,68.8354,61
malaria,2010-03-15,Larkana,27.5551,68.2141,48
malaria,2010-03-15,Nawabshah,26.2483,68.4096,48
malaria,2010-03-15,Peshawar,34.0151,71.5249,54
malaria,2010-03-15,Mardan,34.1989,72.0231,49
malaria,2010-03-15,Swat,34.7717,72.36,56
malaria,2010-03-15,Abbottabad,34.1463,73.2117,46
malaria,2010-03-15,Kohat,33.582,71.4412,50
malaria,2010-03-15,Chitral,35.8518,71.7864,57
malaria,2010-03-15,Quetta,30.1798,66.975,53
malaria,2010-03-15,Gwadar,25.1264,62.3225,56
malaria,2010-03-15,Khuzdar,27.811,66.6109,59
malaria,2010-03-15,Sibi,29.544,67.8773,39
malaria,2010-03-15,Islamabad,33.6844,73.0479,40
malaria,2010-03-15,Muzaffarabad,34.3772,73.4733,43
malaria,2010-03-15,Mirpur,33.15,73.75,38
malaria,2010-03-15,Gilgit,35.9208,74.3089,39
malaria,2010-03-15,Skardu,35.2979,75.6333,48
malaria,2010-04-15,Lahore,31.5204,74.3587,48
malaria,2010-04-15,Faisalabad,31.418,73.079,40
malaria,2010-04-15,Rawalpindi,33.5651,73.0169,57
malaria,2010-04-15,Gujranwala,32.1617,74.1883,38
malaria,2010-04-15,Multan,30.1575,71.5249,59
malaria,2010-04-15,Sialkot,32.4945,74.5229,47
malaria,2010-04-15,Sargodha,32.0836,72.6711,55
malaria,2010-04-15,Bahawalpur,29.3956,71.6836,58
malaria,2010-04-15,Dera Ghazi Khan,30.046,70.6403,43
malaria,2010-04-15,Rahim Yar Khan,28.4195,70.2989,40
malaria,2010-04-15,Karachi,24.8607,67.0011,60
malaria,2010-04-15,Hyderabad,25.396,68.3578,55
malaria,2010-04-15,Sukkur,27.7139,68.8354,54
malaria,2010-04-15,Larkana,27.5551,68.2141,53
malaria,2010-04-15,Nawabshah,26.2483,68.4096,45
malaria,2010-04-15,Peshawar,34.0151,71.5249,55
