disease,date,district,lat,lon,cases
pneumonia,2010-01-15,Lahore,31.5204,74.3587,142
pneumonia,2010-01-15,Faisalabad,31.418,73.079,167
pneumonia,2010-01-15,Rawalpindi,33.5651,73.0169,196
pneumonia,2010-01-15,Gujranwala,32.1617,74.1883,176
pneumonia,2010-01-15,Multan,30.1575,71.5249,182
pneumonia,2010-01-15,Sialkot,32.4945,74.5229,182
pneumonia,2010-01-15,Sargodha,32.0836,72.6711,158
pneumonia,2010-01-15,Bahawalpur,29.3956,71.6836,161
pneumonia,2010-01-15,Dera Ghazi Khan,30.046,70.6403,170
pneumonia,2010-01-15,Rahim Yar Khan,28.4195,70.2989,136
pneumonia,2010-01-15,Karachi,24.8607,67.0011,152
pneumonia,2010-01-15,Hyderabad,25.396,68.3578,129
pneumonia,2010-01-15,Sukkur,27.7139,68.8354,184
pneumonia,2010-01-15,Larkana,27.5551,68.2141,201
pneumonia,2010-01-15,Nawabshah,26.2483,68.4096,148
pneumonia,2010-01-15,Peshawar,34.0151,71.5249,194
pneumonia,2010-01-15,Mardan,34.1989,72.0231,188
pneumonia,2010-01-15,Swat,34.7717,72.36,160
pneumonia,2010-01-15,Abbottabad,34.1463,73.2117,133
pneumonia,2010-01-15,Kohat,33.582,71.4412,127
pneumonia,2010-01-15,Chitral,35.8518,71.7864,160
pneumonia,2010-01-15,Quetta,30.1798,66.975,185
pneumonia,2010-01-15,Gwadar,25.1264,62.3225,173
pneumonia,2010-01-15,Khuzdar,27.811,66.6109,127
pneumonia,2010-01-15,Sibi,29.544,67.8773,186
pneumonia,2010-01-15,Islamabad,33.6844,73.0479,144
pneumonia,2010-01-15,Muzaffarabad,34.3772,73.4733,181
pneumonia,2010-01-15,Mirpur,33.15,73.75,135
pneumonia,2010-01-15,Gilgit,35.9208,74.3089,146
pneumonia,2010-01-15,Skardu,35.2979,75.6333,155
pneumonia,2010-02-15,Lahore,31.5204,74.3587,182
pneumonia,2010-02-15,Faisalabad,31.418,73.079,200
pneumonia,2010-02-15,Rawalpindi,33.5651,73.0169,193
pneumonia,2010-02-15,Gujranwala,32.1617,74.1883,141
pneumonia,2010-02-15,Multan,30.1575,71.5249,166
pneumonia,2010-02-15,Sialkot,32.4945,74.5229,146
pneumonia,2010-02-15,Sargodha,32.0836,72.6711,148
pneumonia,2010-02-15,Bahawalpur,29.3956,71.6836,203
pneumonia,2010-02-15,Dera Ghazi Khan,30.046,70.6403,162
pneumonia,2010-02-15,Rahim Yar Khan,28.4195,70.2989,147
pneumonia,2010-02-15,Karachi,24.8607,67.0011,129
pneumonia,2010-02-15,Hyderabad,25.396,68.3578,176
pneumonia,2010-02-15,Sukkur,27.7139,68.8354,187
pneumonia,2010-02-15,Larkana,27.5551,68.2141,136
pneumonia,2010-02-15,Nawabshah,26.2483,68.4096,137
pneumonia,2010-02-15,Peshawar,34.0151,71.5249,140
pneumonia,2010-02-15,Mardan,34.1989,72.0231,171
pneumonia,2010-02-15,Swat,34.7717,72.36,192
pneumonia,2010-02-15,Abbottabad,34.1463,73.2117,157
pneumonia,2010-02-15,Kohat,33.582,71.4412,130
pneumonia,2010-02-15,Chitral,35.8518,71.7864,161
pneumonia,2010-02-15,Quetta,30.1798,66.975,128
pneumonia,2010-02-15,Gwadar,25.1264,62.3225,146
pneumonia,2010-02-15,Khuzdar,27.811,66.6109,181
pneumonia,2010-02-15,Sibi,29.544,67.8773,202
pneumonia,2010-02-15,Islamabad,33.6844,73.0479,138
pneumonia,2010-02-15,Muzaffarabad,34.3772,73.4733,193
pneumonia,2010-02-15,Mirpur,33.15,73.75,209
pneumonia,2010-02-15,Gilgit,35.9208,74.3089,177
pneumonia,2010-02-15,Skardu,35.2979,75.6333,163
pneumonia,2010-03-15,Lahore,31.5204,74.3587,126
pneumonia,2010-03-15,Faisalabad,31.418,73.079,117
pneumonia,2010-03-15,Rawalpindi,33.5651,73.0169,130
pneumonia,2010-03-15,Gujranwala,32.1617,74.1883,118
pneumonia,2010-03-15,Multan,30.1575,71.5249,135
pneumonia,2010-03-15,Sialkot,32.4945,74.5229,124
pneumonia,2010-03-15,Sargodha,32.0836,72.6711,128
pneumonia,2010-03-15,Bahawalpur,29.3956,71.6836,111
pneumonia,2010-03-15,Dera Ghazi Khan,30.046,70.6403,135
pneumonia,2010-03-15,Rahim Yar Khan,28.4195,70.2989,144
pneumonia,2010-03-15,Karachi,24.8607,67.0011,132
pneumonia,2010-03-15,Hyderabad,25.396,68.3578,100
pneumonia,2010-03-15,Sukkur,27.7139,68.8354,137
pneumonia,2010-03-15,Larkana,27.5551,68.2141,111
pneumonia,2010-03-15,Nawabshah,26.2483,68.4096,116
pneumonia,2010-03-15,Peshawar,34.0151,71.5249,143
pneumonia,2010-03-15,Mardan,34.1989,72.0231,106
pneumonia,2010-03-15,Swat,34.7717,72.36,141
pneumonia,2010-03-15,Abbottabad,34.1463,73.2117,92
pneumonia,2010-03-15,Kohat,33.582,71.4412,128
pneumonia,2010-03-15,Chitral,35.8518,71.7864,117
