disease,date,district,lat,lon,cases
tuberculosis,2010-01-15,Lahore,31.5204,74.3587,79
tuberculosis,2010-01-15,Faisalabad,31.418,73.079,61
tuberculosis,2010-01-15,Rawalpindi,33.5651,73.0169,65
tuberculosis,2010-01-15,Gujranwala,32.1617,74.1883,69
tuberculosis,2010-01-15,Multan,30.1575,71.5249,61
tuberculosis,2010-01-15,Sialkot,32.4945,74.5229,61
tuberculosis,2010-01-15,Sargodha,32.0836,72.6711,80
tuberculosis,2010-01-15,Bahawalpur,29.3956,71.6836,72
tuberculosis,2010-01-15,Dera Ghazi Khan,30.046,70.6403,57
tuberculosis,2010-01-15,Rahim Yar Khan,28.4195,70.2989,55
tuberculosis,2010-01-15,Karachi,24.8607,67.0011,61
tuberculosis,2010-01-15,Hyderabad,25.396,68.3578,58
tuberculosis,2010-01-15,Sukkur,27.7139,68.8354,72
tuberculosis,2010-01-15,Larkana,27.5551,68.2141,76
tuberculosis,2010-01-15,Nawabshah,26.2483,68.4096,66
tuberculosis,2010-01-15,Peshawar,34.0151,71.5249,61
tuberculosis,2010-01-15,Mardan,34.1989,72.0231,72
tuberculosis,2010-01-15,Swat,34.7717,72.36,69
tuberculosis,2010-01-15,Abbottabad,34.1463,73.2117,67
tuberculosis,2010-01-15,Kohat,33.582,71.4412,55
tuberculosis,2010-01-15,Chitral,35.8518,71.7864,55
tuberculosis,2010-01-15,Quetta,30.1798,66.975,59
tuberculosis,2010-01-15,Gwadar,25.1264,62.3225,60
tuberculosis,2010-01-15,Khuzdar,27.811,66.6109,68
tuberculosis,2010-01-15,Sibi,29.544,67.8773,83
tuberculosis,2010-01-15,Islamabad,33.6844,73.0479,69
tuberculosis,2010-01-15,Muzaffarabad,34.3772,73.4733,54
tuberculosis,2010-01-15,Mirpur,33.15,73.75,54
tuberculosis,2010-01-15,Gilgit,35.9208,74.3089,75
tuberculosis,2010-01-15,Skardu,35.2979,75.6333,81
tuberculosis,2010-02-15,Lahore,31.5204,74.3587,77
tuberculosis,2010-02-15,Faisalabad,31.418,73.079,71
tuberculosis,2010-02-15,Rawalpindi,33.5651,73.0169,85
tuberculosis,2010-02-15,Gujranwala,32.1617,74.1883,73
tuberculosis,2010-02-15,Multan,30.1575,71.5249,63
tuberculosis,2010-02-15,Sialkot,32.4945,74.5229,53
tuberculosis,2010-02-15,Sargodha,32.0836,72.6711,80
tuberculosis,2010-02-15,Bahawalpur,29.3956,71.6836,60
tuberculosis,2010-02-15,Dera Ghazi Khan,30.046,70.6403,82
tuberculosis,2010-02-15,Rahim Yar Khan,28.4195,70.2989,67
tuberculosis,2010-02-15,Karachi,24.8607,67.0011,52
tuberculosis,2010-02-15,Hyderabad,25.396,68.3578,72
tuberculosis,2010-02-15,Sukkur,27.7139,68.8354,61
tuberculosis,2010-02-15,Larkana,27.5551,68.2141,62
tuberculosis,2010-02-15,Nawabshah,26.2483,68.4096,73
tuberculosis,2010-02-15,Peshawar,34.0151,71.5249,78
tuberculosis,2010-02-15,Mardan,34.1989,72.0231,81
tuberculosis,2010-02-15,Swat,34.7717,72.36,85
tuberculosis,2010-02-15,Abbottabad,34.1463,73.2117,53
tuberculosis,2010-02-15,Kohat,33.582,71.4412,65
tuberculosis,2010-02-15,Chitral,35.8518,71.7864,61
tuberculosis,2010-02-15,Quetta,30.1798,66.975,71
tuberculosis,2010-02-15,Gwadar,25.1264,62.3225,54
tuberculosis,2010-02-15,Khuzdar,27.811,66.6109,72
tuberculosis,2010-02-15,Sibi,29.544,67.8773,59
tuberculosis,2010-02-15,Islamabad,33.6844,73.0479,53
tuberculosis,2010-02-15,Muzaffarabad,34.3772,73.4733,72
tuberculosis,2010-02-15,Mirpur,33.15,73.75,65
tuberculosis,2010-02-15,Gilgit,35.9208,74.3089,57
tuberculosis,2010-02-15,Skardu,35.2979,75.6333,78
tuberculosis,2010-03-15,Lahore,31.5204,74.3587,77
tuberculosis,2010-03-15,Faisalabad,31.418,73.079,56
tuberculosis,2010-03-15,Rawalpindi,33.5651,73.0169,81
tuberculosis,2010-03-15,Gujranwala,32.1617,74.1883,82
tuberculosis,2010-03-15,Multan,30.1575,71.5249,77
tuberculosis,2010-03-15,Sialkot,32.4945,74.5229,59
tuberculosis,2010-03-15,Sargodha,32.0836,72.6711,85
tuberculosis,2010-03-15,Bahawalpur,29.3956,71.6836,79
tuberculosis,2010-03-15,Dera Ghazi Khan,30.046,70.6403,62
tuberculosis,2010-03-15,Rahim Yar Khan,28.4195,70.2989,72
tuberculosis,2010-03-15,Karachi,24.8607,67.0011,59
tuberculosis,2010-03-15,Hyderabad,25.396,68.3578,57
tuberculosis,2010-03-15,Sukkur,27.7139,68.8354,86
tuberculosis,2010-03-15,Larkana,27.5551,68.2141,84
tuberculosis,2010-03-15,Nawabshah,26.2483,68.4096,82
tuberculosis,2010-03-15,Peshawar,34.0151,71.5249,86
tuberculosis,2010-03-15,Mardan,34.1989,72.0231,86
tuberculosis,2010-03-15,Swat,34.7717,72.36,61
tuberculosis,2010-03-15,Abbottabad,34.1463,73.2117,65
tuberculosis,2010-03-15,Kohat,33.582,71.4412,53
tuberculosis,2010-03-15,Chitral,35.8518,71.7864,53
tuberculosis,2010-03-15,Quetta,30.1798,66.975,86
tuberculosis,2010-03-15,Gwadar,25.1264,62.3225,87
tuberculosis,2010-03-15,Khuzdar,27.811,66.6109,85
tuberculosis,2010-03-15,Sibi,29.544,67.8773,78
tuberculosis,2010-03-15,Islamabad,33.6844,73.0479,81
tuberculosis,2010-03-15,Muzaffarabad,34.3772,73.4733,75
tuberculosis,2010-03-15,Mirpur,33.15,73.75,83
tuberculosis,2010-03-15,Gilgit,35.9208,74.3089,80
tuberculosis,2010-03-15,Skardu,35.2979,75.6333,75
tuberculosis,2010-04-15,Lahore,31.5204,74.3587,83
tuberculosis,2010-04-15,Faisalabad,31.418,73.079,64
tuberculosis,2010-04-15,Rawalpindi,33.5651,73.0169,65
tuberculosis,2010-04-15,Gujranwala,32.1617,74.1883,59
tuberculosis,2010-04-15,Multan,30.1575,71.5249,77
tuberculosis,2010-04-15,Sialkot,32.4945,74.5229,66
tuberculosis,2010-04-15,Sargodha,32.0836,72.6711,58
tuberculosis,2010-04-15,Bahawalpur,29.3956,71.6836,73
tuberculosis,2010-04-15,Dera Ghazi Khan,30.046,70.6403,81
tuberculosis,2010-04-15,Rahim Yar Khan,28.4195,70.2989,77
tuberculosis,2010-04-15,Karachi,24.8607,67.0011,60
tuberculosis,2010-04-15,Hyderabad,25.396,68.3578,85
tuberculosis,2010-04-15,Sukkur,27.7139,68.8354,68
tuberculosis,2010-04-15,Larkana,27.5551,68.2141,68
tuberculosis,2010-04-15,Nawabshah,26.2483,68.4096,59
tuberculosis,2010-04-15,Peshawar,34.0151,71.5249,57
tuberculosis,2010-04-15,Mardan,34.1989,72.0231,59
tuberculosis,2010-04-15,Swat,34.7717,72.36,60
tuberculosis,2010-04-15,Abbottabad,34.1463,73.2117,77
tuberculosis,2010-04-15,Kohat,33.582,71.4412,65
tuberculosis,2010-04-15,Chitral,35.8518,71.7864,60
tuberculosis,2010-04-15,Quetta,30.1798,66.975,74
tuberculosis,2010-04-15,Gwadar,25.1264,62.3225,66
tuberculosis,2010-04-15,Khuzdar,27.811,66.6109,75
tuberculosis,2010-04-15,Sibi,29.544,67.8773,59
tuberculosis,2010-04-15,Islamabad,33.6844,73.0479,58
tuberculosis,2010-04-15,Muzaffarabad,34.3772,73.4733,73
tuberculosis,2010-04-15,Mirpur,33.15,73.75,79
tuberculosis,2010-04-15,Gilgit,35.9208,74.3089,71
tuberculosis,2010-04-15,Skardu,35.2979,75.6333,87
tuberculosis,2010-05-15,Lahore,31.5204,74.3587,68
tuberculosis,2010-05-15,Faisalabad,31.418,73.079,62
tuberculosis,2010-05-15,Rawalpindi,33.5651,73.0169,70
tuberculosis,2010-05-15,Gujranwala,32.1617,74.1883,66
tuberculosis,2010-05-15,Multan,30.1575,71.5249,64
tuberculosis,2010-05-15,Sialkot,32.4945,74.5229,82
tuberculosis,2010-05-15,Sargodha,32.0836,72.6711,52
tuberculosis,2010-05-15,Bahawalpur,29.3956,71.6836,55
tuberculosis,2010-05-15,Dera Ghazi Khan,30.046,70.6403,68
