disease,date,district,lat,lon,cases
typhoid,2010-01-15,Lahore,31.5204,74.3587,48
typhoid,2010-01-15,Faisalabad,31.418,73.079,68
typhoid,2010-01-15,Rawalpindi,33.5651,73.0169,41
typhoid,2010-01-15,Gujranwala,32.1617,74.1883,51
typhoid,2010-01-15,Multan,30.1575,71.5249,67
typhoid,2010-01-15,Sialkot,32.4945,74.5229,45
typhoid,2010-01-15,Sargodha,32.0836,72.6711,61
typhoid,2010-01-15,Bahawalpur,29.3956,71.6836,52
typhoid,2010-01-15,Dera Ghazi Khan,30.046,70.6403,59
typhoid,2010-01-15,Rahim Yar Khan,28.4195,70.2989,68
typhoid,2010-01-15,Karachi,24.8607,67.0011,56
typhoid,2010-01-15,Hyderabad,25.396,68.3578,46
typhoid,2010-01-15,Sukkur,27.7139,68.8354,61
typhoid,2010-01-15,Larkana,27.5551,68.2141,46
typhoid,2010-01-15,Nawabshah,26.2483,68.4096,68
typhoid,2010-01-15,Peshawar,34.0151,71.5249,50
typhoid,2010-01-15,Mardan,34.1989,72.0231,60
typhoid,2010-01-15,Swat,34.7717,72.36,53
typhoid,2010-01-15,Abbottabad,34.1463,73.2117,61
typhoid,2010-01-15,Kohat,33.582,71.4412,60
typhoid,2010-01-15,Chitral,35.8518,71.7864,66
typhoid,2010-01-15,Quetta,30.1798,66.975,53
typhoid,2010-01-15,Gwadar,25.1264,62.3225,45
typhoid,2010-01-15,Khuzdar,27.811,66.6109,48
typhoid,2010-01-15,Sibi,29.544,67.8773,42
typhoid,2010-01-15,Islamabad,33.6844,73.0479,42
typhoid,2010-01-15,Muzaffarabad,34.3772,73.4733,55
typhoid,2010-01-15,Mirpur,33.15,73.75,62
typhoid,2010-01-15,Gilgit,35.9208,74.3089,53
typhoid,2010-01-15,Skardu,35.2979,75.6333,49
typhoid,2010-02-15,Lahore,31.5204,74.3587,67
typhoid,2010-02-15,Faisalabad,31.418,73.079,51
typhoid,2010-02-15,Rawalpindi,33.5651,73.0169,60
typhoid,2010-02-15,Gujranwala,32.1617,74.1883,68
typhoid,2010-02-15,Multan,30.1575,71.5249,60
typhoid,2010-02-15,Sialkot,32.4945,74.5229,63
typhoid,2010-02-15,Sargodha,32.0836,72.6711,64
typhoid,2010-02-15,Bahawalpur,29.3956,71.6836,68
typhoid,2010-02-15,Dera Ghazi Khan,30.046,70.6403,56
typhoid,2010-02-15,Rahim Yar Khan,28.4195,70.2989,67
typhoid,2010-02-15,Karachi,24.8607,67.0011,58
typhoid,2010-02-15,Hyderabad,25.396,68.3578,58
typhoid,2010-02-15,Sukkur,27.7139,68.8354,43
typhoid,2010-02-15,Larkana,27.5551,68.2141,60
typhoid,2010-02-15,Nawabshah,26.2483,68.4096,60
typhoid,2010-02-15,Peshawar,34.0151,71.5249,66
typhoid,2010-02-15,Mardan,34.1989,72.0231,47
