week_start,district,disease,cases,temperature,humidity,rainfall,population_density,sanitation_index,cases_last_4weeks,cases_last_8weeks,CERS
2015-01-25,Abbottabad,COVID-19,43,24.6,53.7,2.7,598,0.6,43.0,43.0,50.52142857142857
2015-03-15,Abbottabad,COVID-19,12,22.4,55.6,10.9,981,0.31,55.0,55.0,55.47380952380953
2015-10-11,Abbottabad,COVID-19,13,35.6,50.2,7.2,739,0.6,68.0,68.0,40.32857142857142
2015-10-18,Abbottabad,COVID-19,5,28.8,68.8,6.7,238,0.56,73.0,73.0,19.607142857142858
2015-10-25,Abbottabad,COVID-19,4,31.7,45.3,7.6,970,0.95,34.0,77.0,36.08571428571429
2016-01-17,Abbottabad,COVID-19,26,44.9,65.1,10.6,903,1.0,48.0,103.0,46.923809523809524
2016-05-22,Abbottabad,COVID-19,20,30.4,88.6,17.0,580,0.4,55.0,123.0,47.92857142857143
2016-08-21,Abbottabad,COVID-19,18,27.6,55.0,0.4,561,0.86,68.0,141.0,28.652380952380955
2016-10-02,Abbottabad,COVID-19,0,31.0,77.7,13.6,352,0.79,64.0,98.0,19.400000000000002
2017-03-05,Abbottabad,COVID-19,13,36.5,59.4,13.4,376,0.83,51.0,99.0,26.728571428571424
2017-04-30,Abbottabad,COVID-19,20,31.7,41.6,17.9,192,0.95,51.0,106.0,24.445238095238096
2017-11-12,Abbottabad,COVID-19,9,22.3,78.5,13.2,397,0.42,42.0,110.0,33.24285714285715
2018-01-07,Abbottabad,COVID-19,26,27.8,47.2,18.8,640,0.84,68.0,132.0,45.45714285714286
2018-04-15,Abbottabad,COVID-19,3,17.7,68.1,9.5,575,0.32,58.0,109.0,35.897619047619045
2018-06-03,Abbottabad,COVID-19,16,27.6,59.4,12.8,792,0.33,54.0,105.0,52.00952380952379
2018-09-02,Abbottabad,COVID-19,17,36.2,41.9,9.0,834,0.89,62.0,104.0,40.88095238095238
2018-11-11,Abbottabad,COVID-19,15,26.2,44.8,18.3,223,0.59,51.0,119.0,30.021428571428576
2019-02-03,Abbottabad,COVID-19,17,32.6,74.5,3.8,526,0.9,65.0,123.0,27.814285714285713
2019-05-19,Abbottabad,COVID-19,1,26.5,70.6,1.9,927,0.72,50.0,104.0,34.688095238095244
2019-07-14,Abbottabad,COVID-19,5,32.2,71.9,1.4,774,0.74,38.0,100.0,31.223809523809525
2019-07-21,Abbottabad,COVID-19,13,40.3,53.0,11.6,687,0.93,36.0,87.0,34.195238095238096
2019-08-04,Abbottabad,COVID-19,7,27.3,48.3,1.2,564,0.46,26.0,91.0,30.866666666666664
2020-08-23,Abbottabad,COVID-19,5,22.6,50.4,15.8,645,0.99,30.0,80.0,29.123809523809523
2021-03-28,Abbottabad,COVID-19,7,31.9,69.9,11.5,517,1.0,32.0,70.0,23.65
2021-07-18,Abbottabad,COVID-19,19,29.8,52.6,17.7,988,0.42,38.0,74.0,60.90714285714286
2021-10-31,Abbottabad,COVID-19,19,32.9,68.5,16.1,363,0.86,50.0,76.0,30.473809523809525
