date,district,lat,lon,disease,cases,lag_1,lag_2,lag_3,temperature,humidity,rainfall,population_density,sanitation_score
2015-04-07,Hyderabad,25.396,68.3578,Measles,3,0,10,7,38.6,82.6,43.6,2527,79
2015-01-07,Rawalpindi,33.6167,73.0667,Malaria,8,1,7,0,19.6,59.6,0.0,1514,35
2015-04-10,Peshawar,34.0151,71.5805,Typhoid,4,5,8,7,38.5,79.1,42.8,1934,48
2015-01-16,Karachi South,24.809,66.991,GI Infections,5,5,0,6,21.9,61.8,2.0,3410,90
2015-05-16,Gwadar,25.1214,62.3256,Cholera,6,2,1,5,38.4,77.7,37.3,3206,36
2015-05-25,Sukkur,27.705,68.857,Influenza,4,6,4,0,38.3,74.0,31.8,4954,59
2015-01-10,Sukkur,27.705,68.857,Rubella,4,1,6,7,19.7,59.2,0.0,4954,59
2015-01-01,Islamabad,33.6844,73.0479,Cholera,3,0,0,0,18.6,57.9,0.0,2816,30
2015-04-25,Jhelum,32.9333,73.7333,Mumps,6,7,7,5,40.7,80.3,38.6,3536,73
2015-01-16,Peshawar,34.0151,71.5805,Pneumonia,2,5,1,5,22.6,62.9,2.1,1934,48
2015-03-20,Islamabad,33.6844,73.0479,Hepatitis A,6,0,4,5,35.8,81.6,35.2,2816,30
2015-05-10,Sialkot,32.4945,74.5229,Skin Infections,7,5,6,5,40.8,78.8,35.0,2870,73
2015-03-08,Dera Ghazi Khan,30.0561,70.6347,Malaria,5,2,2,6,33.4,76.4,36.7,1782,70
2015-02-12,Dera Ghazi Khan,30.0561,70.6347,Asthma,3,4,9,7,29.1,68.3,20.7,1782,70
2015-03-26,Larkana,27.56,68.21,Hepatitis E,0,5,1,3,37.9,76.1,35.9,2445,71
2015-02-06,Multan,30.1575,71.5249,Rubella,5,6,3,9,26.3,67.8,18.9,1743,34
2015-02-27,Jhelum,32.9333,73.7333,Rotavirus,6,8,4,6,32.4,75.4,25.4,3536,73
2015-04-28,Dera Ghazi Khan,30.0561,70.6347,Asthma,9,4,9,6,39.7,79.4,40.3,1782,70
2015-01-13,Peshawar,34.0151,71.5805,GI Infections,3,2,7,4,22.4,62.8,1.2,1934,48
2015-02-18,Lahore,31.5497,74.3436,Cholera,2,0,0,4,30.6,72.6,23.2,2677,60
2015-05-19,Quetta,30.1798,66.975,Influenza,2,3,4,0,39.3,77.5,33.8,2413,46
2015-03-08,Sialkot,32.4945,74.5229,Skin Infections,4,3,8,6,32.7,73.9,32.8,2870,73
2015-01-04,Jhelum,32.9333,73.7333,COVID19,4,7,0,0,16.3,56.9,0.0,3536,73
2015-03-23,Sargodha,32.0836,72.6711,Rotavirus,6,7,0,2,37.6,75.4,38.4,2649,30
2015-01-16,Quetta,30.1798,66.975,Skin Infections,9,4,4,3,22.7,65.1,1.8,2413,46
2015-03-05,Dera Ghazi Khan,30.0561,70.6347,Malaria,2,2,6,6,33.7,76.0,34.8,1782,70
2015-01-10,Dera Ghazi Khan,30.0561,70.6347,Dengue,5,4,6,6,21.6,61.9,0.0,1782,70
2015-01-19,Hyderabad,25.396,68.3578,Dengue,1,6,5,2,22.6,63.4,4.5,2527,79
2015-01-07,Jhelum,32.9333,73.7333,Pneumonia,7,10,0,0,21.1,55.4,0.0,3536,73
2015-04-07,Islamabad,33.6844,73.0479,Polio,4,8,3,0,39.4,82.4,37.6,2816,30
2015-05-22,Islamabad,33.6844,73.0479,Malaria,5,6,7,5,38.5,75.6,32.6,2816,30
2015-05-13,Sargodha,32.0836,72.6711,Dengue,9,4,0,4,39.7,77.8,33.5,2649,30
2015-04-10,Dera Ghazi Khan,30.0561,70.6347,Pneumonia,5,7,12,6,38.2,77.9,40.3,1782,70
2015-04-04,Larkana,27.56,68.21,Measles,3,0,3,0,39.2,77.2,38.0,2445,71
2015-03-08,Sukkur,27.705,68.857,Influenza,0,0,5,11,34.7,78.8,33.2,4954,59
2015-01-22,Larkana,27.56,68.21,Allergies,4,4,6,6,23.6,63.1,8.9,2445,71
2015-05-04,Gwadar,25.1214,62.3256,Pneumonia,12,7,12,2,40.0,78.2,38.2,3206,36
2015-03-05,Islamabad,33.6844,73.0479,GI Infections,8,2,0,3,32.0,76.1,29.6,2816,30
2015-04-19,Sheikhupura,31.7131,73.9783,Skin Infections,6,6,4,7,40.9,79.4,39.8,2990,42
2015-03-02,Sargodha,32.0836,72.6711,Tuberculosis,5,6,5,3,32.0,74.2,32.4,2649,30
2015-03-08,Bahawalpur,29.3956,71.6833,Dengue,2,0,5,4,34.0,76.6,29.7,1135,66
2015-03-02,Hyderabad,25.396,68.3578,Hepatitis E,0,7,6,6,35.5,75.1,30.0,2527,79
2015-03-17,Gujranwala,32.1877,74.1945,Allergies,8,2,0,5,35.9,78.1,37.6,3361,37
2015-05-25,Lahore,31.5497,74.3436,Mumps,4,8,4,8,39.2,76.5,28.3,2677,60
2015-03-14,Dera Ghazi Khan,30.0561,70.6347,Tuberculosis,1,1,9,0,35.0,74.5,37.2,1782,70
2015-04-19,Jhelum,32.9333,73.7333,Measles,7,3,8,0,38.1,80.5,39.2,3536,73
2015-01-19,Gwadar,25.1214,62.3256,Allergies,6,3,4,7,22.5,61.6,5.9,3206,36
2015-04-10,Islamabad,33.6844,73.0479,Polio,3,4,8,3,39.8,79.4,38.9,2816,30
2015-05-28,Bahawalpur,29.3956,71.6833,Influenza,1,0,9,0,39.0,74.1,30.4,1135,66
2015-01-07,Faisalabad,31.4181,73.0798,Eye Infections,1,2,0,0,19.7,58.3,0.0,1101,39
2015-05-25,Turbat,26.0043,63.0488,Asthma,0,4,10,1,39.9,73.8,28.9,2245,70
2015-04-13,Bahawalpur,29.3956,71.6833,Eye Infections,2,13,6,0,39.2,79.1,38.5,1135,66
2015-05-04,Gwadar,25.1214,62.3256,Polio,4,2,5,2,40.0,78.2,38.2,3206,36
2015-03-02,Gwadar,25.1214,62.3256,Skin Infections,3,3,6,0,33.2,75.4,31.1,3206,36
2015-05-25,Lahore,31.5497,74.3436,Dengue,1,9,5,6,39.2,76.5,28.3,2677,60
2015-04-22,Sargodha,32.0836,72.6711,COVID19,21,20,17,18,40.7,78.1,42.1,2649,30
2015-05-10,Quetta,30.1798,66.975,COVID19,5,0,3,3,38.6,74.9,35.6,2413,46
2015-02-09,Sukkur,27.705,68.857,Influenza,18,12,15,14,29.5,70.3,19.8,4954,59
2015-04-28,Bahawalpur,29.3956,71.6833,Cholera,3,3,0,7,38.5,80.0,40.2,1135,66
2015-01-28,Sargodha,32.0836,72.6711,Asthma,5,0,5,5,24.3,63.2,10.1,2649,30
2015-03-23,Sialkot,32.4945,74.5229,GI Infections,2,3,4,4,37.6,82.1,38.2,2870,73
2015-03-14,Hyderabad,25.396,68.3578,Eye Infections,5,5,6,6,34.9,77.2,38.9,2527,79
2015-01-07,Sargodha,32.0836,72.6711,Skin Infections,7,0,1,0,20.7,55.0,0.0,2649,30
2015-05-19,Sargodha,32.0836,72.6711,Typhoid,6,4,4,7,38.5,74.1,32.2,2649,30
2015-01-13,Sialkot,32.4945,74.5229,Hepatitis A,4,7,5,2,20.6,62.0,1.1,2870,73
2015-04-22,Turbat,26.0043,63.0488,Rotavirus,5,6,4,0,41.2,80.4,37.5,2245,70
2015-03-17,Faisalabad,31.4181,73.0798,Skin Infections,6,2,3,4,35.6,77.9,42.8,1101,39
2015-01-04,Islamabad,33.6844,73.0479,COVID19,6,3,0,0,18.6,55.4,0.0,2816,30
2015-01-19,Larkana,27.56,68.21,Malaria,3,2,6,6,22.2,63.6,6.1,2445,71
